index,model,folds,class,test_set_precision,test_set_recall,test_set_micro_precision,test_set_micro_recall,test_accuracy,validation_set_precision,validation_set_recall,validation_set_micro_precision,validation_set_micro_recall,validation_accuracy
116,"MLP Hidden Layer (20,20,): Full Dataset Raw",4,opinions,0.685820677473924,0.503968253968254,0.8469015795868773,0.8469015795868773,0.8469015795868773,0.6881124807395994,0.5462749615975422,0.8558867179300701,0.8558867179300701,0.8558867179300701
117,"MLP Hidden Layer (20,20,): Full Dataset Raw",4,politics,0.8206629034380896,0.8347826086956522,0.8469015795868773,0.8469015795868773,0.8469015795868773,0.832428353964148,0.8937593703148426,0.8558867179300701,0.8558867179300701,0.8558867179300701
118,"MLP Hidden Layer (20,20,): Full Dataset Raw",4,sport,0.9444349151896321,0.9622641509433962,0.8469015795868773,0.8469015795868773,0.8469015795868773,0.8997004515400742,0.8867924528301887,0.8558867179300701,0.8558867179300701,0.8558867179300701
119,"MLP Hidden Layer (20,20,): Full Dataset Raw",4,style,0.0,0.0,0.8469015795868773,0.8469015795868773,0.8469015795868773,0.0,0.0,0.8558867179300701,0.8558867179300701,0.8558867179300701
120,"MLP Hidden Layer (20,20,): Full Dataset Raw",4,travel,0.0,0.0,0.8469015795868773,0.8469015795868773,0.8469015795868773,0.5833333333333334,0.25,0.8558867179300701,0.8558867179300701,0.8558867179300701
121,"MLP Hidden Layer (20,20,): Full Dataset Raw",4,us,0.8654556650246306,0.7653846153846153,0.8469015795868773,0.8469015795868773,0.8469015795868773,0.7710398343338453,0.6419471153846154,0.8558867179300701,0.8558867179300701,0.8558867179300701
122,"MLP Hidden Layer (20,20,): Full Dataset Raw",4,weather,0.7068548387096774,0.9130434782608695,0.8469015795868773,0.8469015795868773,0.8469015795868773,0.8173076923076923,0.9479166666666667,0.8558867179300701,0.8558867179300701,0.8558867179300701
123,"MLP Hidden Layer (20,20,): Full Dataset Raw",4,world,0.8359194851217424,0.8720238095238095,0.8469015795868773,0.8469015795868773,0.8469015795868773,0.8581439151869477,0.8983461648132306,0.8558867179300701,0.8558867179300701,0.8558867179300701
124,"MLP Hidden Layer (20,20,): Full Dataset Raw",4,macro avg,0.6179153787686725,0.6281929217562429,0.8469015795868773,0.8469015795868773,0.8469015795868773,0.6883710304818458,0.6684065663461257,0.8558867179300701,0.8558867179300701,0.8558867179300701
125,"MLP Hidden Layer (20,20,): Full Dataset Raw",4,weighted avg,0.8363543084135833,0.8469015795868773,0.8469015795868773,0.8469015795868773,0.8469015795868773,0.848686849735007,0.8558867179300701,0.8558867179300701,0.8558867179300701,0.8558867179300701
